controller,run_idx,seed,final_compliance,final_grayness,final_volume,wall_time,tail_entry_best_C,tail_entry_best_iter,tail_entry_best_G,tail_entry_valid,tail_enabled,result_dir,metrics_file,mode,problem,nelx,nely,nelz,volfrac,max_iter,grayness_gate
fixed_tail,0,42,75.80746110676509,8.310771798706213e-07,0.4000000000000005,67.41761040687561,80.97907,300.0,0.09841,True,True,results_pub_cantilever_2d_review_r0_fixed_tail,per_run_metrics.json,2d,cantilever,120,60,0,0.4,300,0.2
llm_agent,0,42,76.22875611327355,9.493202256004974e-09,0.39999999999999886,109.81384444236755,76.22876,285.0,0.0,True,True,results_pub_cantilever_2d_review_r0_llm_agent,per_run_metrics.json,2d,cantilever,120,60,0,0.4,300,0.2
llm_replay,0,42,76.22875611327355,9.493202256004974e-09,0.39999999999999886,33.55600190162659,76.22876,285.0,0.0,True,True,results_pub_cantilever_2d_replay_r0_llm_replay,per_run_metrics.json,2d,cantilever,120,60,0,0.4,300,0.2
llm_replay_freeze_penal,0,42,187.60886996408166,0.00023879129569781823,0.39999999999989627,9.96408987045288,inf,0.0,0.96,False,True,results_pub_cantilever_2d_replay_r0_freeze_penal,per_run_metrics.json,2d,cantilever,120,60,0,0.4,300,0.2
llm_replay_freeze_beta,0,42,75.90249348558005,1.21177517492278e-07,0.39999999999999103,22.268114805221558,82.26377,185.0,0.08779,True,True,results_pub_cantilever_2d_replay_r0_freeze_beta,per_run_metrics.json,2d,cantilever,120,60,0,0.4,300,0.2
llm_replay_freeze_rmin,0,42,76.275311494459,1.7572172889776217e-08,0.39999999999999925,33.658610582351685,76.2754,258.0,1e-05,True,True,results_pub_cantilever_2d_replay_r0_freeze_rmin,per_run_metrics.json,2d,cantilever,120,60,0,0.4,300,0.2
llm_replay_freeze_move,0,42,76.30595947774698,3.882529416530749e-08,0.40000000000005215,33.60481786727905,76.30658,148.0,0.00017,True,True,results_pub_cantilever_2d_replay_r0_freeze_move,per_run_metrics.json,2d,cantilever,120,60,0,0.4,300,0.2
